# step  t  vx_mean  vy_mean  vmag_mean
0 0.00000000e+00 1.09182799e-03 -9.45691310e-04 1.44444467e-03
100 1.00000000e+01 1.09238271e-03 -8.74868594e-04 1.39953386e-03
200 2.00000000e+01 1.09196175e-03 -8.84431764e-04 1.40520461e-03
300 3.00000000e+01 1.09434442e-03 -1.01678132e-03 1.49379850e-03
400 4.00000000e+01 1.05333177e-03 -1.04155240e-03 1.48133022e-03
500 5.00000000e+01 1.01168361e-03 -1.05318078e-03 1.46037443e-03
600 6.00000000e+01 1.01081328e-03 -9.27149144e-04 1.37162277e-03
700 7.00000000e+01 9.26457520e-04 -8.69149808e-04 1.27033260e-03
800 8.00000000e+01 9.63022525e-04 -9.35967662e-04 1.34292511e-03
900 9.00000000e+01 9.18249250e-04 -8.99485429e-04 1.28540100e-03
1000 1.00000000e+02 9.56438598e-04 -8.83607427e-04 1.30212783e-03
1100 1.10000000e+02 9.63498955e-04 -8.42073816e-04 1.27961656e-03
1200 1.20000000e+02 9.41465900e-04 -7.44433783e-04 1.20022485e-03
1300 1.30000000e+02 9.71622881e-04 -7.28511543e-04 1.21440524e-03
1400 1.40000000e+02 9.29635717e-04 -7.01858429e-04 1.16482952e-03
1500 1.50000000e+02 9.08370072e-04 -6.10132120e-04 1.09425655e-03
1600 1.60000000e+02 8.85254180e-04 -5.33240614e-04 1.03345078e-03
1700 1.70000000e+02 8.60367261e-04 -4.66225960e-04 9.78569604e-04
1800 1.80000000e+02 8.34277074e-04 -4.95168497e-04 9.70159820e-04
1900 1.90000000e+02 8.16923974e-04 -4.17388073e-04 9.17375377e-04
2000 2.00000000e+02 7.91610801e-04 -3.56269680e-04 8.68087406e-04
2100 2.10000000e+02 7.79435504e-04 -3.93294729e-04 8.73040921e-04
2200 2.20000000e+02 7.59130111e-04 -3.43087595e-04 8.33059195e-04
2300 2.30000000e+02 7.36946764e-04 -2.98669678e-04 7.95169233e-04
2400 2.40000000e+02 7.13589427e-04 -2.58653105e-04 7.59019959e-04
2500 2.50000000e+02 6.89638255e-04 -2.22234332e-04 7.24561261e-04
2600 2.60000000e+02 6.65341038e-04 -1.88896636e-04 6.91636202e-04
2700 2.70000000e+02 7.58326205e-04 -2.65440991e-04 8.03441070e-04
2800 2.80000000e+02 7.15291942e-04 -2.08353958e-04 7.45019419e-04
2900 2.90000000e+02 6.77939330e-04 -1.69018327e-04 6.98690869e-04
3000 3.00000000e+02 6.45155145e-04 -1.36001414e-04 6.59334169e-04
3100 3.10000000e+02 5.74968231e-04 -1.73152235e-04 6.00474948e-04
3200 3.20000000e+02 5.50670549e-04 -1.37619485e-04 5.67606533e-04
3300 3.30000000e+02 5.26104355e-04 -1.08790555e-04 5.37234751e-04
3400 3.40000000e+02 5.52843267e-04 -1.63446326e-04 5.76498377e-04
3500 3.50000000e+02 5.34268620e-04 -1.39848664e-04 5.52268600e-04
3600 3.60000000e+02 5.81819157e-04 -1.46370468e-04 5.99948202e-04
3700 3.70000000e+02 5.97830222e-04 -5.57323656e-05 6.00422410e-04
3800 3.80000000e+02 5.51396399e-04 -3.63535582e-05 5.52593494e-04
3900 3.90000000e+02 5.17482404e-04 -1.78695009e-05 5.17790843e-04
4000 4.00000000e+02 4.88612568e-04 -1.22039910e-06 4.88614092e-04
4100 4.10000000e+02 5.44062466e-04 1.19327942e-05 5.44193310e-04
4200 4.20000000e+02 5.02171111e-04 3.34160359e-05 5.03281687e-04
4300 4.30000000e+02 4.70562722e-04 4.92618310e-05 4.73134234e-04
4400 4.40000000e+02 4.42754070e-04 6.19079728e-05 4.47061252e-04
4500 4.50000000e+02 4.75044711e-04 2.72189372e-05 4.75823863e-04
4600 4.60000000e+02 4.44482605e-04 4.13775633e-05 4.46404400e-04
4700 4.70000000e+02 4.64828569e-04 -2.70212095e-05 4.65613299e-04
4800 4.80000000e+02 4.99007409e-04 3.33609714e-05 5.00121333e-04
4900 4.90000000e+02 5.35821193e-04 -3.02284552e-05 5.36673188e-04
5000 5.00000000e+02 5.89598378e-04 -4.43256104e-05 5.91262215e-04
5100 5.10000000e+02 4.67037607e-04 -1.53271307e-04 4.91544729e-04
5200 5.20000000e+02 4.54972440e-04 -1.20119374e-04 4.70561988e-04
5300 5.30000000e+02 3.90900794e-04 -1.54265435e-04 4.20239521e-04
5400 5.40000000e+02 3.88577871e-04 -1.29398133e-04 4.09556637e-04
5500 5.50000000e+02 3.83165840e-04 -1.08177235e-04 3.98143661e-04
5600 5.60000000e+02 3.75256292e-04 -8.75852056e-05 3.85341994e-04
5700 5.70000000e+02 3.65275220e-04 -6.80802914e-05 3.71565489e-04
5800 5.80000000e+02 3.53860669e-04 -4.99565649e-05 3.57369600e-04
5900 5.90000000e+02 3.41502397e-04 -3.33937787e-05 3.43131216e-04
6000 6.00000000e+02 3.28452035e-04 -1.83929133e-05 3.28966623e-04
6100 6.10000000e+02 3.14986217e-04 -4.92078470e-06 3.15024651e-04
6200 6.20000000e+02 3.72794108e-04 5.53771770e-07 3.72794519e-04
6300 6.30000000e+02 3.49972514e-04 1.58062503e-05 3.50329270e-04
6400 6.40000000e+02 4.14517010e-04 1.52338598e-05 4.14796844e-04
6500 6.50000000e+02 3.83228820e-04 3.14947356e-05 3.84520802e-04
6600 6.60000000e+02 3.58532445e-04 4.29299544e-05 3.61093471e-04
6700 6.70000000e+02 3.35451390e-04 5.26956028e-05 3.39565107e-04
6800 6.80000000e+02 3.13882716e-04 6.09678245e-05 3.19749019e-04
6900 6.90000000e+02 2.93580990e-04 6.79675286e-05 3.01345952e-04
7000 7.00000000e+02 2.74404971e-04 7.38739764e-05 2.84175038e-04
7100 7.10000000e+02 3.13770841e-04 1.13924827e-04 3.33812832e-04
7200 7.20000000e+02 3.55220691e-04 5.25052965e-05 3.59080138e-04
7300 7.30000000e+02 3.93474184e-04 -1.76783942e-07 3.93474223e-04
7400 7.40000000e+02 3.63241910e-04 2.44229741e-05 3.64062037e-04
7500 7.50000000e+02 3.39381542e-04 3.85839121e-05 3.41567782e-04
7600 7.60000000e+02 3.18904960e-04 4.93240004e-05 3.22696809e-04
7700 7.70000000e+02 3.00089770e-04 5.79544503e-05 3.05634731e-04
7800 7.80000000e+02 2.82470253e-04 6.49773210e-05 2.89847367e-04
7900 7.90000000e+02 2.65845913e-04 7.07053696e-05 2.75087801e-04
8000 8.00000000e+02 2.50054873e-04 7.54236098e-05 2.61182236e-04
8100 8.10000000e+02 2.34925872e-04 7.92332721e-05 2.47927564e-04
8200 8.20000000e+02 3.66545341e-04 2.58774489e-05 3.67457656e-04
8300 8.30000000e+02 4.14800597e-04 2.47265016e-05 4.15536924e-04
8400 8.40000000e+02 3.70999274e-04 4.61458767e-05 3.73858133e-04
8500 8.50000000e+02 3.36972123e-04 5.88683943e-05 3.42075576e-04
8600 8.60000000e+02 3.07429611e-04 6.84975676e-05 3.14968066e-04
8700 8.70000000e+02 2.81327317e-04 7.59936956e-05 2.91410537e-04
8800 8.80000000e+02 2.57977226e-04 8.18432527e-05 2.70648420e-04
8900 8.90000000e+02 2.36926164e-04 8.63459572e-05 2.52169846e-04
9000 9.00000000e+02 2.17829147e-04 8.96592246e-05 2.35559576e-04
9100 9.10000000e+02 2.68932170e-04 7.01136159e-05 2.77921628e-04
9200 9.20000000e+02 2.52515485e-04 -1.54600639e-06 2.52520218e-04
9300 9.30000000e+02 2.34175473e-04 1.47456012e-05 2.34639266e-04
