nx      total_ms        ms_per_step   
10      8.6906          0.086906      
16      22.7506         0.227506      
24      50.4115         0.504115      
32      89.4687         0.894687      
48      188.3088        1.883088      
64      317.2940        3.172940      
96      623.5472        6.235472      
128     1227.4320       12.274320     
192     4317.9840       43.179840     
256     14647.0400      146.470400    
384     64769.4800      647.694800    
512     215173.2000     2151.732000   
768     1.0893          10892.680000  
