nx      total_ms        ms_per_step   
10      5.9722          0.059722      
16      13.9667         0.139667      
24      29.6848         0.296848      
32      52.1291         0.521291      
48      113.1864        1.131864      
64      198.8550        1.988550      
96      367.9278        3.679278      
128     736.9630        7.369630      
192     2484.0020       24.840020     
256     8373.5240       83.735240     
384     36761.8200      367.618200    
512     117513.4000     1175.134000   
768     585391.4000     5853.914000   
