N,mode,kernel,gpu_pct,avg_us,total_us,instances
256,cll,force_ss_k,89.8,141.931,14335.0,101
256,cll,force_pin_cll_k,7.8,12.353,1247.7,101
256,naive,force_ss_k,56.9,141.832,14325.0,101
256,naive,force_pin_k,41.8,104.319,10536.3,101
576,cll,force_ss_k,95.2,318.068,32124.9,101
576,cll,force_pin_cll_k,3.7,12.216,1233.8,101
576,naive,force_ss_k,57.5,317.918,32109.7,101
576,naive,force_pin_k,41.9,231.643,23395.9,101
1024,cll,force_ss_k,97.1,505.374,51042.8,101
1024,cll,force_pin_cll_k,2.2,11.428,1154.3,101
1024,naive,force_ss_k,57.4,559.312,56490.5,101
1024,naive,force_pin_k,42.2,411.248,41536.0,101
2304,cll,force_ss_k,98.6,1113.339,112447.2,101
2304,cll,force_pin_cll_k,1.0,11.698,1181.5,101
2304,naive,force_ss_k,58.1,1142.252,115367.5,101
2304,naive,force_pin_k,41.8,821.037,82924.7,101
4096,cll,force_ss_k,99.2,1893.979,191291.8,101
4096,cll,force_pin_cll_k,0.6,11.759,1187.6,101
4096,naive,force_ss_k,58.2,1893.923,191286.2,101
4096,naive,force_pin_k,41.7,1358.975,137256.5,101
9216,cll,force_ss_k,99.6,4908.727,495781.4,101
9216,cll,force_pin_cll_k,0.3,13.503,1363.8,101
9216,naive,force_ss_k,59.0,4907.886,495696.5,101
9216,naive,force_pin_k,41.0,3412.562,344668.8,101
16384,cll,force_ss_k,99.8,12029.858,1215015.6,101
16384,cll,force_pin_cll_k,0.2,21.037,2124.7,101
16384,naive,force_ss_k,61.7,12025.494,1214574.9,101
16384,naive,force_pin_k,38.3,7466.752,754141.9,101
36864,cll,force_ss_k,99.9,70163.979,7086561.9,101
36864,cll,force_pin_cll_k,0.1,65.328,6598.1,101
36864,naive,force_ss_k,58.9,69860.359,7055896.2,101
36864,naive,force_pin_k,41.1,48675.656,4916241.2,101
65536,cll,force_ss_k,99.9,193303.480,19523651.5,101
65536,cll,force_pin_cll_k,0.1,106.270,10733.3,101
65536,naive,force_ss_k,62.3,193103.233,19503426.6,101
65536,naive,force_pin_k,37.7,116901.943,11807096.2,101
