# step  t  vx_mean  vy_mean  vmag_mean
0 0.00000000e+00 9.31322575e-09 -2.23517418e-08 2.42143869e-08
50 5.00000000e+00 6.40284270e-10 5.82076609e-10 8.65319089e-10
100 1.00000000e+01 2.61934474e-10 6.98491931e-10 7.45989709e-10
150 1.50000000e+01 9.31322575e-10 1.13504939e-09 1.46822984e-09
200 2.00000000e+01 -9.31322575e-10 -1.19325705e-09 1.51367900e-09
250 2.50000000e+01 3.02679837e-09 8.87666829e-10 3.15427658e-09
300 3.00000000e+01 -1.04773790e-09 -1.89174898e-10 1.06467922e-09
350 3.50000000e+01 1.28056854e-09 -1.42608769e-09 1.91665904e-09
400 4.00000000e+01 5.82076609e-10 1.77533366e-09 1.86832084e-09
450 4.50000000e+01 1.48429535e-09 1.10594556e-09 1.85101277e-09
500 5.00000000e+01 -6.40284270e-10 4.22005542e-10 7.66845893e-10
550 5.50000000e+01 -1.42608769e-09 -2.32830644e-10 1.44496928e-09
600 6.00000000e+01 -2.91038305e-10 -2.61934474e-10 3.91551993e-10
650 6.50000000e+01 -1.45519152e-09 1.42608769e-09 2.03747601e-09
700 7.00000000e+01 6.69388101e-10 2.60479283e-09 2.68942858e-09
750 7.50000000e+01 -1.16415322e-09 -5.96628524e-10 1.30813543e-09
800 8.00000000e+01 8.73114914e-10 -4.36557457e-11 8.74205626e-10
850 8.50000000e+01 6.69388101e-10 -1.07684173e-09 1.26793869e-09
900 9.00000000e+01 -4.22005542e-10 -6.40284270e-10 7.66845893e-10
950 9.50000000e+01 -6.83940016e-10 9.82254278e-10 1.19691161e-09
1000 1.00000000e+02 8.00355338e-10 -2.18278728e-09 2.32489333e-09
1050 1.05000000e+02 -8.00355338e-10 -4.07453626e-10 8.98101956e-10
1100 1.10000000e+02 5.52972779e-10 -6.91215973e-10 8.85188350e-10
1150 1.15000000e+02 1.48429535e-09 6.98491931e-10 1.64043399e-09
1200 1.20000000e+02 2.64844857e-09 -1.11322151e-09 2.87289784e-09
1250 1.25000000e+02 1.02591002e-09 -3.63797881e-10 1.08850369e-09
1300 1.30000000e+02 6.33008312e-10 1.00408215e-09 1.18696272e-09
1350 1.35000000e+02 -2.47382559e-10 -8.94942787e-10 9.28504562e-10
1400 1.40000000e+02 1.76078174e-09 6.11180440e-10 1.86383848e-09
1450 1.45000000e+02 1.99361239e-09 -1.10958354e-09 2.28159286e-09
1500 1.50000000e+02 -6.25732355e-10 -3.27418093e-11 6.26588386e-10
1550 1.55000000e+02 -2.40106601e-10 1.35332812e-09 1.37446287e-09
1600 1.60000000e+02 4.36557457e-11 -7.27595761e-10 7.28904257e-10
1650 1.65000000e+02 -2.14640750e-10 2.03726813e-10 2.95931184e-10
1700 1.70000000e+02 -1.51885615e-09 6.54836185e-10 1.65400557e-09
1750 1.75000000e+02 -1.30421540e-09 -1.15323928e-09 1.74095912e-09
1800 1.80000000e+02 7.27595761e-10 6.29370334e-10 9.62030462e-10
1850 1.85000000e+02 -1.11685949e-09 3.23780114e-10 1.16284508e-09
1900 1.90000000e+02 -1.85536919e-10 3.27418093e-11 1.88403754e-10
1950 1.95000000e+02 -2.21734808e-09 1.23691279e-09 2.53901276e-09
2000 2.00000000e+02 -1.18870958e-09 5.31144906e-10 1.30197748e-09
2050 2.05000000e+02 -1.64709490e-09 1.49884727e-09 2.22698558e-09
2100 2.10000000e+02 3.31965566e-10 -5.16592991e-10 6.14059814e-10
2150 2.15000000e+02 -4.01087163e-10 1.16779120e-09 1.23474985e-09
2200 2.20000000e+02 -1.64982339e-09 1.80443749e-09 2.44497686e-09
2250 2.25000000e+02 -5.07498044e-10 6.80302037e-10 8.48743263e-10
2300 2.30000000e+02 1.03136699e-09 8.94942787e-10 1.36551839e-09
2350 2.35000000e+02 2.36468622e-11 3.12866177e-10 3.13758536e-10
2400 2.40000000e+02 -8.87666829e-10 2.69210432e-10 9.27591858e-10
2450 2.45000000e+02 -1.95723260e-09 4.87489160e-10 2.01702879e-09
2500 2.50000000e+02 -9.89530236e-10 2.46654963e-09 2.65763752e-09
2550 2.55000000e+02 7.23957783e-10 7.71251507e-10 1.05780138e-09
2600 2.60000000e+02 1.16051524e-09 9.71340341e-10 1.51337295e-09
